item,combined_count
station_0_0,0
station_0_1,10
station_0_2,4
station_0_3,10
station_0_4,0
station_0_5,6
station_0_6,10
station_0_7,10
station_0_8,4
station_0_9,4
station_0_10,3
station_0_11,1
station_0_12,5
station_0_13,0
station_0_14,3
station_0_15,3
station_0_16,5
station_0_17,8
station_0_18,0
station_0_19,10
station_0_20,9
station_0_21,5
station_0_22,3
station_0_23,2
station_1_0,0
station_1_1,4
station_1_2,0
station_1_3,5
station_1_4,0
station_1_5,2
station_1_6,2
station_1_7,3
station_1_8,1
station_1_9,10
station_1_10,6
station_1_11,6
station_1_12,10
station_1_13,1
station_1_14,0
station_1_15,2
station_1_16,0
station_1_17,3
station_1_18,10
station_1_19,10
station_1_20,9
station_1_21,3
station_1_22,3
station_1_23,4
station_2_0,0
station_2_1,12
station_2_2,0
station_2_3,6
station_2_4,0
station_2_5,4
station_2_6,3
station_2_7,7
station_2_8,0
station_2_9,2
station_2_10,6
station_2_11,10
station_2_12,3
station_2_13,3
station_2_14,3
station_2_15,2
station_2_16,0
station_2_17,11
station_2_18,0
station_2_19,10
station_2_20,3
station_2_21,8
station_2_22,0
station_2_23,0
station_3_0,0
station_3_1,8
station_3_2,8
station_3_3,10
station_3_4,2
station_3_5,0
station_3_6,9
station_3_7,2
station_3_8,0
station_3_9,9
station_3_10,5
station_3_11,9
station_3_12,6
station_3_13,10
station_3_14,9
station_3_15,4
station_3_16,0
station_3_17,7
station_3_18,2
station_3_19,4
station_3_20,0
station_3_21,3
station_3_22,2
station_3_23,2
station_4_0,16
station_4_1,6
station_4_2,0
station_4_3,9
station_4_4,3
station_4_5,6
station_4_6,1
station_4_7,9
station_4_8,4
station_4_9,10
station_4_10,5
station_4_11,6
station_4_12,1
station_4_13,1
station_4_14,0
station_4_15,2
station_4_16,4
station_4_17,2
station_4_18,0
station_4_19,5
station_4_20,6
station_4_21,3
station_4_22,2
station_4_23,1
station_5_0,0
station_5_1,26
station_5_2,10
station_5_3,3
station_5_4,0
station_5_5,18
station_5_6,8
station_5_7,10
station_5_8,10
station_5_9,3
station_5_10,13
station_5_11,2
station_5_12,10
station_5_13,2
station_5_14,0
station_5_15,10
station_5_16,0
station_5_17,21
station_5_18,16
station_5_19,11
station_5_20,7
station_5_21,3
station_5_22,3
station_5_23,2
